Reading training examples... (65 examples) done
Training set properties: 2398 features, 8 classes
Iter 1: .........*(NumConst=1, SV=1, CEps=100.0000, QPEps=0.0000)
Iter 2: *(NumConst=2, SV=2, CEps=26.8149, QPEps=0.0000)
Iter 3: *(NumConst=3, SV=3, CEps=17.7899, QPEps=0.0000)
Iter 4: .........*(NumConst=4, SV=4, CEps=81.6707, QPEps=0.0000)
Iter 5: *(NumConst=5, SV=5, CEps=22.7145, QPEps=0.0000)
Iter 6: *(NumConst=6, SV=6, CEps=10.1597, QPEps=0.0000)
Iter 7: .........*(NumConst=7, SV=6, CEps=46.1961, QPEps=0.0000)
Iter 8: *(NumConst=8, SV=7, CEps=20.6831, QPEps=0.0000)
Iter 9: *(NumConst=9, SV=8, CEps=12.1958, QPEps=0.0000)
Iter 10: *(NumConst=10, SV=9, CEps=6.7300, QPEps=0.0000)
Iter 11: .........*(NumConst=11, SV=10, CEps=22.0498, QPEps=0.0000)
Iter 12: *(NumConst=12, SV=11, CEps=12.1367, QPEps=0.7740)
Iter 13: *(NumConst=13, SV=12, CEps=10.5169, QPEps=4.2003)
Iter 14: *(NumConst=14, SV=12, CEps=10.4389, QPEps=2.9000)
Iter 15: *(NumConst=15, SV=13, CEps=6.8538, QPEps=1.1638)
Iter 16: *(NumConst=16, SV=14, CEps=4.5694, QPEps=0.8088)
Iter 17: *(NumConst=17, SV=15, CEps=4.6729, QPEps=2.2335)
Iter 18: *(NumConst=18, SV=16, CEps=2.7883, QPEps=1.1664)
Iter 19: *(NumConst=19, SV=17, CEps=3.0545, QPEps=1.3339)
Iter 20: *(NumConst=20, SV=17, CEps=2.7507, QPEps=1.3063)
Iter 21: *(NumConst=21, SV=18, CEps=3.0090, QPEps=0.8368)
Iter 22: .........*(NumConst=22, SV=19, CEps=14.8297, QPEps=1.6285)
Iter 23: *(NumConst=23, SV=20, CEps=6.1278, QPEps=2.1315)
Iter 24: *(NumConst=24, SV=21, CEps=5.5528, QPEps=2.1249)
Iter 25: *(NumConst=25, SV=22, CEps=3.0540, QPEps=1.3065)
Iter 26: *(NumConst=26, SV=23, CEps=2.7365, QPEps=1.3032)
Iter 27: *(NumConst=27, SV=24, CEps=2.1380, QPEps=0.6113)
Iter 28: *(NumConst=28, SV=25, CEps=1.7489, QPEps=0.4545)
Iter 29: *(NumConst=29, SV=25, CEps=1.6489, QPEps=0.4981)
Iter 30: .........*(NumConst=30, SV=26, CEps=8.6509, QPEps=1.9157)
Iter 31: *(NumConst=31, SV=27, CEps=4.6313, QPEps=1.3860)
Iter 32: *(NumConst=32, SV=28, CEps=3.6543, QPEps=1.7661)
Iter 33: *(NumConst=33, SV=29, CEps=2.7824, QPEps=0.8668)
Iter 34: *(NumConst=34, SV=30, CEps=2.5927, QPEps=0.7713)
Iter 35: *(NumConst=35, SV=31, CEps=1.8331, QPEps=0.5606)
Iter 36: *(NumConst=36, SV=32, CEps=1.3765, QPEps=0.4730)
Iter 37: *(NumConst=37, SV=33, CEps=1.2307, QPEps=0.4972)
Iter 38: *(NumConst=38, SV=34, CEps=1.1137, QPEps=0.5533)
Iter 39: *(NumConst=39, SV=35, CEps=1.0024, QPEps=0.4946)
Iter 40: .........*(NumConst=40, SV=36, CEps=5.4310, QPEps=2.1411)
Iter 41: *(NumConst=41, SV=37, CEps=3.1308, QPEps=1.0905)
Iter 42: *(NumConst=42, SV=38, CEps=2.4647, QPEps=0.7809)
Iter 43: *(NumConst=43, SV=39, CEps=2.7598, QPEps=1.1656)
Iter 44: *(NumConst=44, SV=40, CEps=1.7002, QPEps=0.7603)
Iter 45: *(NumConst=45, SV=40, CEps=1.4972, QPEps=0.6302)
Iter 46: *(NumConst=46, SV=41, CEps=1.3779, QPEps=0.4429)
Iter 47: *(NumConst=47, SV=42, CEps=1.1498, QPEps=0.4235)
Iter 48: *(NumConst=48, SV=43, CEps=0.9584, QPEps=0.4589)
Iter 49: *(NumConst=49, SV=44, CEps=0.7202, QPEps=0.3249)
Iter 50: *(NumConst=50, SV=45, CEps=0.8665, QPEps=0.3562)
Iter 51: .........*(NumConst=51, SV=46, CEps=2.3039, QPEps=0.7931)
Iter 52: *(NumConst=52, SV=47, CEps=1.1959, QPEps=0.5351)
Iter 53: *(NumConst=53, SV=48, CEps=1.3202, QPEps=0.4751)
Iter 54: *(NumConst=54, SV=49, CEps=1.0088, QPEps=0.3834)
Iter 55: *(NumConst=55, SV=50, CEps=0.9232, QPEps=0.3372)
Iter 56: *(NumConst=55, SV=50, CEps=0.8561, QPEps=0.3523)
Iter 57: *(NumConst=56, SV=51, CEps=0.6202, QPEps=0.2833)
Iter 58: *(NumConst=57, SV=52, CEps=0.4858, QPEps=0.2037)
Iter 59: *(NumConst=58, SV=53, CEps=0.5631, QPEps=0.1936)
Iter 60: *(NumConst=59, SV=54, CEps=0.4045, QPEps=0.1832)
Iter 61: *(NumConst=60, SV=55, CEps=0.5848, QPEps=0.1736)
Iter 62: *(NumConst=61, SV=56, CEps=0.4884, QPEps=0.1701)
Iter 63: *(NumConst=61, SV=57, CEps=0.4179, QPEps=0.1810)
